GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
com.dummy.examples,org.example.client,Client,25,0,0,0,9,0,5,0,5,0
com.dummy.examples,org.example.service,ServiceIsItTrue,0,33,0,4,0,8,0,4,0,2
